Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.7	abmomVA	e ennobleçida de tales uirtudes	esse ornatam talibus virtutibus ,	dTfi71r
2.1.15	vAZiDa7	por que es mas enoblesçido e mayor en razon	eo quod ratione praestantior :	cmqPNcd
2.1.18	aWpVEKD	los mas los mas son ennoblesçidos	Nam secundum eundem Philosophum in Polit’ mares plus vigent ratione quam foeminae :	eItVJnC
2.1.18	mYXtQi0	Et en essa misma manera avn los moços non son tan noblesçidos	Sic etiam et pueri non sic ratione vigent	hsCawNY
2.1.18	i9OEThx	por ende commo las mugers comunalmente non sean ennoblesçidas	Quare cum mulieres communiter non tanta bonitate polleant sicut uiri ;	cXuTIej
2.2.7	jR6hE6A	si non fuere enoblesçido	nisi vigeat prudentia et intellectu .	hPlfdKS
2.2.7	nYODEMT	et mas enoblesçido por sabidia e por entendimiento	et magis viget prudentia et intellectu :	aYCLl6y
2.2.7	v1Mgevl	Ca si los prinçipes non fueren ennoblesçidos	Nam nisi princeps vigeat prudentia	vBwosvH
2.2.7	xmq3ygi	por que se pueda enoblesçer	ut vigere possint prudentia et intellectu .	uLG3swh
2.3.7	gKNInfo	que son ennoblesçidos	naturaliter debent esse subiecti hominibus pollentibus subtilitate et prudentia .	jW1rRQ7
2.3.7	s9hETvs	Et segunt esta manera tal de fablar los çibdadanos que son mas noblesçidos	Secundum quem modum loquendi , | ciues ,	rlIyJUG, cJy0Cm3
2.3.13	mjv11b0	o por conparaçion delas fenbras a los uatones . Ca ueemos que por que el uaton es mas ennoblesçido en razon	eo quod sit ratione prestantior ,	pxs8KVb
2.3.18	jI0vubu	e menos ennoblesçidos en costunbres que los otros .	et sunt peruersiores aliis | secundum mores .	oLghDDV, e3xIwUR
