Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.10	osP7L6v	En iustiçia legal		
1.2.10	lPPthou	Mas la iustiçia legales uirtud general	Iustitia vero aequalis ,	lTWjoth
1.2.10	bF3bFfy	Ca por esso es alguno dicho iustolegal	Nam ex hoc est quis iustus legalis ,	qzj2sWU
1.2.10	vJGHXbn	que la iustiçialegal es uirtud acabada .	quod Iustitia legalis est perfecta virtus . Sic etiam Ethicorum 5 scribitur ,	pb9Wug7
1.2.10	qC6IWs8	por la qual cosa la iustiçia legal	Quare Iustitia legalis ,	rjSjOnq
1.2.10	yyD4C9n	al Rey en tanto ha de seer en ellos estas dos iustiçias legal e ygual .	habet esse in eis Iustitia legalis , | et aequalis .	klGqQY8, faTSBsH
1.2.10	mkbhNnx	assi es en ello la iustiçia legal .	sic est in eis Iustitia legalis .	t8Tqrlo
1.2.10	ckQDwzi	e conplir la iustiçia legales	et implere legalem Iustitiam , est sequi omne bonum ,	hNyN4bE
1.2.10	pzTCt1H	¶Et por ende la iustiçia legales en alguno manera toda uirtud	et habere quodammodo omnem virtutem , propter quod legalis Iustitia dicta est quodammodo omnis virtus , quia exercet opera omnium virtutum .	cQTA4bb
1.2.10	zbQlqyS	que la iustiçia legal non es dicha toda uirtud	Non est autem simpliciter legalis | Iustitia omnis virtus ,	l2gGtCi, ndiv9Nz
1.2.10	xpnFYCd	Mas esta iustiçia legal departese de cada vna dela sotras uirtudes en dos cosas .	Differt autem huiusmodi Iustitia a qualibet virtute in duobus :	yi8l2ZJ
1.2.10	dLevRZa	Ca commo quier que el iusto legal faga essas mismas obras	nam licet eadem opera agat Iustus legalis ,	jSzAMjo
1.2.10	pVngUer	es dicho iusto legal .	iustus legalis est .	p03WLVz
1.2.10	bTUi5Cd	Et pues que assi es el iusto legal	Iustus ergo legalis ,	eLQ9ff7
1.2.10	dgj8qU9	e en quanto es iusto legal deleytase en conplir la ley .	et secundum quod homo ,	kmZREVk
1.2.10	lNqZhPy	Mas si el iusto legal se deleyta	delectatur in impletione legis . Si autem delectatur in operibus singularium virtutum ,	z5LBYJL
1.2.10	jv70j27	Mas el iustolegal	Sed iustus legalis ,	zD56iyk
1.2.10	en9zwPx	cunpliendo la ley la iustiçia legal	prout implet legem ,	jQIXR9T
1.2.10	krjNQ3W	Et por ende la iustiçia legal	Iustitia ergo legalis licet faciat illa eadem opera ,	u0Kv6L3
1.2.10	ow4Bqpz	que la iustiçia legal .	quam legalis .	lphxEVb
1.2.10	sApwwkV	que es dicha legal	quae dicitur legalis :	zEtEkRl
1.2.10	aRTK2IT	Ca la iustiçia legal ha de ser	circa quae habet esse Iustitia ,	pDI4aEG
1.2.10	auGqlDz	si quier sea legal	siue sit legalis ,	qO44RPl
1.2.11	nB0wXBI	assi se declara . Ca assi como es dicho en el capitulo sobredicho la iustiçia legales en alguna meranera toda uirtud	( ut in praecedenti capitulo dicebatur ) Legalis Iustitia est quodammodo omnis virtus . Habere enim huiusmodi Iustitiam , est implere legem .	yRAVJn6
1.2.11	exm9LcR	que la iustiçia legales entera e acabada uirtud	quod legalis Iustitia est perfecta virtus .	iCPfjSc
1.2.11	jvxDC9Q	la mengua dela iustiçia legal	legalis Iniustitia est integra , et perfecta malitia .	f9myPQZ
1.2.11	hjSCb3z	nin toma ninguna parte dela iustiçia legal .	et ciues non participare in aliquo legalem Iustitiam ,	qeJx34m
1.2.11	tpmYKhL	Et por ende de parte dela iustiçia legal .	Ex parte igitur ipsius legalis Iustitiae ,	u3SF4MK
1.2.11	xOW8KHp	que sin lan iustiçia legal non pueden los regnos estar ni durar ¶	quod absque legali Iustitia non valent regna subsistere .	zeQIvkR
