Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.6	dQvfXqU	Pues si la bien auentraança es bien acabado e conplido . <b> Conuiene que sea bien segunt el en tedimiento </b> e segunt Razon	si felicitas ponitur <b> esse perfectum bonum , oportet quod sit bonum </b> secundum intellectum , et rationem :	efFhow9
1.1.6	f4YebSH	e segunt Razon <b> O conuiene que sea tal bien qual iudga la razon derecha </b> que nos auemos de segnir	secundum intellectum , et rationem : <b> vel ( quod idem est ) | oportet quod sit tale bonum , </b> quale recta ratio prosequendi iudicet .	mScPtWV, cSFQukz
1.1.8	iRPLvXf	si conplida mente quiere demostrar le que significa <b> conuiene que sea conosçida cosa e magnifiesta . </b> Mas las cosas que son de dentro del alma	si plene manifestare vult ipsum signatum , <b> oportet quod sit | quid notum et manifestum : </b> intrinseca autem non sunt nobis nota ,	iXYtbxX, uk00yON
1.1.12	f8sRNN0	e de gouernar prinçipalmente e acabadamente . <b> Conuiene que qual se quier </b> prinçipeo Rey	et perfecte solus Deus , <b> oportet quod quicunque principatur , </b> siue regnat ,	fItEIWh
1.2.8	gmh0bI9	e la su conpanna a alguons bienes . <b> Conuiene que aya memoria de las cosas passadas . </b> Et que aya prouision delas cosas passadas	gentem aliquam ad bonum dirigere , <b> oportet quod habeat memoriam praeteritorum , </b> et prouidentiam futurorum .	vL0pA51
1.2.8	sQKd4YF	Ca la manera por que el Rey guia el su pueblo <b> Conuiene que sea manera de omne . </b> Ca el Rey omne es	quo Rex suum populum dirigit , <b> oportet quod sit humanus , </b> quia Rex ipse homo est .	o9le6X8
2.1.6	x8iVvtn	Ca quando el ome es primero <b> conuiene que sea engendrado . </b> Et la natura luego es acuçiosa de su salud .	Cum enim primo homo est , <b> oportet quod sit genitus : </b> et natura statim est solicita de salute eius ;	luqzfxw
2.1.6	nlSX6ur	Ca para ser la cosa acabada <b> non conuiene que faga sienpre </b> e engendre su semeiante	Ad hoc enim quod aliquid sit perfectum , <b> non oportet | quod sibi simile producat , </b> sed quod possit sibi simile producere :	q4blL3o, kwntsr3
2.1.8	lDGG7cS	que sea segunt natura <b> e para que entre el uaron e la muger sea amistança natural conuiene que guarden vno a otro fe e lealtad </b> assi que non se puedan partir vno de otro .	ad hoc quod coniugium sit secundum naturam , <b> et ad hoc quod inter uxorem et virum sit amicitia naturalis , | oportet quod sibi inuicem seruent fidem , </b> ita quod ab inuicem non discedant .	dwiv5tN, zmd1dgt
3.2.8	emsTwaQ	e la fuente delas esc̀ yturas . <b> conuiene que de ally tome todo el pueblo algun enssennamiento </b> e de prinda alguna sabiduria .	et fons scripturarum , <b> oportet quod inde totus populus </b> aliquam eruditionem accipiat :	erjavBf
3.2.18	ipXdfSD	para fazer tales cosas <b> Morende para que alguno faga fe delas cosas de que fabla o conuiene que sea sabio </b> o que sea tenido por sabio .	existimantur talia facere : <b> ideo ad hoc quod aliquis ex rebus | de quibus loquitur fidem faciat , vel oportet quod sit prudens </b> vel quod credatur esse prudens .	p8Nsrps, inPa3Qv
3.2.18	mxl1XYH	a cuyos dichos creen los omes <b> e es dada feo conuiene que sea bueono </b> que sea amigo	vel omnis ille cuius dictis creditur <b> et adhibetur fides , | vel oportet quod sit bonus , </b> vel quod amicus ,	uya5pXt, lT1aJuz
3.2.26	emaiKah	en quanto es conparada ala ley de natura <b> conuiene que sea derechͣ . </b> Et en quanto es conparada al bien comun	ad legem naturae , <b> oportet quod sit iusta : </b> ut comparatur ad bonum commune ,	uNQVuii
3.2.26	bel09Aq	el qual pueblo deueser reglado por aquella ley . <b> conuiene que sea conuenible </b> e que conuenga con el uso	et debet regulari per huiusmodi legem , <b> oportet quod sit competens </b> et compossibilis consuetudini patriae et tempori :	nmDRtRD
3.2.29	cVUKy7Z	assi commo por regla de fierro . <b> Mas conuiene que se reglen con regla de plommo </b> que se pueda en coruar	ut puta ferrea : <b> sed oportet | quod mensurentur regula plumbea , </b> quae sit applicabilis humanis actibus .	fjRDDU5, vb5ONVe
