Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.10	zwblnbD	Mas ensennorear	ponenda est in Principatu optimo , et digno . Principari autem per ciuilem potentiam , est principari seruis ,	p4SAvjq
1.1.10	fXvCp7D	que ensennorear despotice	quam principari despotice ,	qDVyJoo
1.1.10	jzD8F1f	que quiere dezir enssennorear . seruilmente e sobre los sieruos ¶	idest dominaliter .	mRI3fvi
1.2.7	nLCJaXo	nin enssennorear natural mente .	quia sine ea non possunt naturaliter dominari .	pUObwdj
1.2.16	a6F2Kpb	que ha de enssennorear alos otros	cuius est aliis dominari ,	vakYHpz
1.3.4	tOQ8wHW	e de enssennorear prinçipalmente	Cum ergo in arte regnandi et principandi principaliter	qUsZ4EG
2.1.3	ymR4v6C	por que cada vno deue estudiar de ser digno para gouernar e para enssennorear .	tum quia quilibet studere debet | ut sit dignus regere	wPwc0s3, osWBBGV
2.1.12	b9JY7bV	Mas vno se esforçara de enssennorear al otro	sed unus alteri ,	p3yn9wM
2.1.14	tcv8bfT	Mas el padre deue enssennorear alos fiion	Sed pater debet praeesse filiis	cxQ9Wch
2.1.14	wbVZaql	Ca enssennorear realmente es senoreat en toda manera	Nam praeesse regaliter est praeesse totaliter et secundum arbitrium :	fBJV8uE
2.1.14	ibRY4KO	mas enllennore ar çiuilmente es enssennorear	sed secundum quasdam conuentiones | et pacta . Rursus ,	nHQmDQv, iP4awuj
2.1.14	qZAnenA	Ca el padre assi deue enssennorear alos fijes	Nam pater sic debet praeesse filiis ,	kHg1IKE
2.2.1	jpE5U6r	e deuen enssennorear a ellos	et conseruant :	tw1gyJg
2.2.3	xUrZQiC	non deue ninguno ensennorear sinplemente	quia uxori ( ut in praehabitis tangebatur ) non quis debet praeesse simpliciter ex arbitrio ,	q558S0f
2.2.3	eNziXZW	mas deue enssennorear la segunt	sed ei praeesse debet	aa2HUKm
2.2.3	kvLTAZg	que el uaron deue ensennorear ala mug̃	virum praeesse mulieri ,	oKzzQJG
2.2.3	v24FKja	e assennorear de vna manera	tamen eodem modo principandi :	y2kDFf7
2.2.3	aoB5bYj	Mas ala muger deue enssennorear çibdadana niete	sed mulieri quidem politice , natis autem regaliter . Tertium autem regimen quod est in domo ,	sO8aIR1
2.2.3	uaXB4mh	Ca si el padre deue enssennorear alos fiios realmente	Nam si pater debet praeesse filiis regaliter	aYCcbR0
2.2.3	gZNQ2bQ	e non çibdadanamente non entender enssennorear el bien de los sieruos	praeesse aliquibus dominatiue , | non intendere bonum ipsorum ,	sMIzcme, wGBJDda
2.2.3	lfHODfv	Empero el padre deue enssennorear alos fuos	pater tamen debet praeesse filiis propter bonum ipsorum filiorum .	d6uncFY
2.2.3	eK2miIM	que el padre deue enssennorear alos fiios	patet quod filiis debet	xmJmUPi
2.2.7	ejxu8BM	por que puedan enssennorear mas sabiamente	quanto decet eos intelligentiores	jJCoL7g
2.2.8	w7R1BfD	e de enssennorear al pueblo el qual pueblo non puede entender	inter gentes et dominari populo , | qui non potest percipere	rH6M0ZW, rYAMU52
2.2.8	fk5RVkR	assi es si conuiene de saber la sçiençia moral a aquellos que dessean enssennorear	Sic ergo morale negocium scire expedit ab iis | qui cupiunt principari :	euiieKw, fX2TWNe
2.2.8	cpmkGq0	en qual manera de una enssennorear	qualiter debeat principari ,	yYSiR9M
2.2.10	eQPLfvD	e de enssennorear	qui debent principari	auz5YSx
2.2.17	i0k0dDw	les que son dignos de enssennorear	quod digni sint dominari ,	oxfraYS
2.3.13	nNLM0Ql	e enla çibdat bien ordenadlos sabios deuen enssennorear	et corpus obedit : sic in politia bene ordinata sapientes debent dominari ,	ldOh8eb
2.3.14	eJSKGdg	assi commo en fortaleza o en poderio ciuil deue enssennorear	ut in fortitudine , | vel in ciuili potentia ,	asaixJs, cKmGDLf
