Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	z2pDkOZ	que es dicho dela amistança ha verdad dela sabiduria de gouernar	Quod ergo dictum est de amicabilitate , | veritatem habet de ipsa industria regiatiua ,	pjMntmq, i2jAR7r
1.2.28	nKEOgEO	conuiene saber ¶amistança	videlicet , amicabilitas ,	yGfrWV8
1.2.28	cgocC0B	Et esta uirtud es llamada amistança o bien fablança .	Huiusmodi autem , amicabilitas , | siue affabilitas est .	nUrYeaj, x8MwpK7
1.2.28	rQ2Pbbp	çerca quales cosas ha de ser la amistança .	de leui apparere potest circa quae habet esse :	kWJmKRr
1.4.4	sDaCnht	Ca los mançebos son misicordiosos por amistança .	Iuuenes enim miseratiui sunt propter amicitiam :	a4kGIBm
1.4.4	yDs2zSb	pro por que son amadores de amistanças	quia sunt amatores amicitiarum ,	k6TV86e
1.4.4	rYJIEiz	o por que ellos sean amadores de amistanças .	vel quia sunt amatiui amicitiarum :	mHxM7Bl
2.1.4	u9eaAJV	e amistança con otra çibdat	aliam confoederare se alteri ciuitati ;	jzvsVzc
2.1.4	dFCGqKp	Por la qual consa el amistança delas çibdades es prouechosa	quare cum confoederatio ciuitatum utilis sit ad bellandum hostes ,	vLnKBop
2.1.4	n1VokHf	que es amistança de muchos castiellos		
2.1.7	sgfR3xk	quariendo mostrar qual es el amistança del uaron a la muger prueua	ad uxorem ,	wRTZZlB
2.1.7	bL4uMO4	que aquella amistança es segunt natura .	probat amicitiam illam esse	l4fXUGM
2.1.8	xdM18ld	o de parte dela amistança natural	vel ex parte amicitiae naturalis ,	fdtXNvC
2.1.8	wR73Dos	por amistança si se departe della . Si entre el marido e la mugier queremos saluar fe conuenible	si ab amicitia eius discedat : | si inter virum	cRG4mag, g5U2sp3
2.1.8	ga4BAue	Ca commo entre el uaron e la muger sea amistança natural	et econuerso . Cum enim inter virum et uxorem sit amicitia naturalis ,	wfdtDP9
2.1.8	aM54MiW	e para que entre el uaron e la muger sea amistança natural conuiene que guarden vno a otro fe e lealtad	et ad hoc quod inter uxorem et virum sit amicitia naturalis , | oportet quod sibi inuicem seruent fidem ,	r0aYiMw, fzeHH1Q
2.1.8	eLnGjEf	Ca sienpre es de la razon del bien comun que tenga e ayunte amistança	semper enim de ratione communis , | est quod contineat , uniat , et coniungat ,	bjSGv3k, t8JtLXu
2.1.9	ooCWMQU	delas ethicas entre ellos es amistança muy grande e muy natural .	est amicitia excellens | et naturalis .	vHhCT3u, mizfmcB
2.1.10	gVBOwBh	Lo segundo por el casamiento se leunata paz e amistança .	ex coniugio consurgit pax	dkAEhCO
2.1.10	y3mz6jZ	que es ordenado a paz e amistança nasçria contienda e discordia .	quod ordinatur ad pacem | et ad amicitiam ,	w74uWzV, e9m0kVK
2.1.11	a33fJN5	por razon del parentescoparesca de ser amistança grande	Sed cum inter consanguineos ex ipsa proximitate carnis sufficiens amicitia esse videatur , dictat naturalis ratio coniugia contrahenda esse	gqXXa6q
2.1.11	nkA1MbT	por amor e por amistança	ut quos carnis coniunctio per dilectionem | et amicitiam non coniungit ,	oFighnO, uTwg6pU
2.1.11	fbSBRa2	e amistança de los otros	et amicitia aliorum .	jWO0xJb
2.1.11	f3v5Lmf	si sobre aquel amor se añdiesse otra amistança	si supra amorem illum superaddatur amicitia coniugalis ,	oVENbfO
2.1.20	uFO8XK8	mas avn amistança honesta .	sed honesta . Viso , quomodo decet viros suis uxoribus moderate uti et discrete :	m7QCwDZ
2.1.20	p6KJQ17	si se mostraren sennales conuenibles de amistança e de amor .	si ei ostendat debita signa amicitiae ,	koFTVp7
2.1.20	wJUv5yy	que les deuemos mostrar muchͣs señales de amistança	Nam sic conuersandum est cum uxoribus , quod plura signa amicitiae ostendenda sunt eis ,	uqtypSm
2.1.20	hXzUijJ	si les fuere mostrada grand amistança	si eis multa amicitia ostendatur ,	kDpTcZ9
2.1.22	iayvyED	por que sea entre ellos amistança natural delectable e honesta	inter eos amicitia naturalis delectabilis , et honesta .	qTQJ0XV
2.2.1	sFFzUgS	de ser amistança natural ¶	ex eo quod inter eos debet esse amicitia naturalis . Prima via sic patet .	vFZfCoz
2.2.1	lonSglk	La terçera razon se toma de parte dela amistançan	Tertia via sumitur ex parte amicitiae naturalis ,	vHgvEEo
2.2.14	lGxOGct	para prouar esto mismo se toma de aquello que los mançebos son mucho amadores de amistança .	sumitur ex eo quod iuuenes sunt nimis amatores amicitiae .	qqPUEBo
2.3.6	rHvqN8j	viij̊ libro delas ethicas es amistança natural	inter quos secundum Philosophum 8 Ethicorum est amicitia naturalis ,	zdEgwnZ
2.3.18	oP2tTaH	la qual cosa es obra de bien fablança e de amistança .	quod est opus affabilitatis .	r3qX1uG
2.3.18	v1K2Loi	e la buean fama e amistança	Nam si decet Reges et Principes	vgcZ5Rw
3.1.5	rMWiGJf	faze amistança con otra çibdat		
3.1.5	eCrNEA9	assi commo vna amistança de muchͣs çibdades	quasi quaedam confederatio plurium ciuitatum ,	fkLhyzr
3.1.6	ydf1hp8	o muchs castiellos se ayuntassen en vno por amistança	et castra simul confoederarentur	nYzRamI
3.1.10	vSJHijv	e assi non seria amistança entre los çibdadanos	Non ergo erit amicitia inter ciues ,	txedsyF
3.1.10	aFxDxF2	e saluna la amistança .	et aequale amicitiam soluit .	xM0ScGv
3.1.10	znVZYu6	estonçe es amistança entreellos	tunc est amicitia inter eos ,	pw9zZkM
3.1.10	v99o6sr	e assi se salua la amistança entre ellos	et non saluare amicitiam inter eos . Tertium malum sic declaratur .	nsksd5w
3.1.10	kCkhE99	non puede ser amistança acabada de vno a muchos	secundum perfectam amicitiam non contingit ,	orBAuv7
3.2.10	zDVXfeC	non conssentir las conpannias e las amistanças .	est non solum non permittere fieri sodalitates et amicitias ,	quSBFLz
3.2.18	ypBkQem	Lo segundo amistança¶ Lo terçero sabiduria .	videlicet , bonitas , amicitia , et sapientia . Nam ,	lu4XDd6
3.2.21	iNuBg0C	por misericordia o por amistança	Si vero ad alteram partem declinet per misericordiam	iZE8TGp
3.2.32	qSxwJ2P	Ca los omes biuiendo en vno ganan amistança los vnos con los otros	Nam homines simul conuiuentes ad inuicem amicitiam contrahunt ,	g6rqnrR
3.3.14	q3oEdTz	Lo vj° es amistança e concordia entre ralmente	est amor | et concordia ipsorum .	ha8W2r9, habtzaN
