Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	bEs2hPU	en quanto la naturaleza dessa mismͣ cosa lo demanda	inquantum natura rei recipit . Videtur enim natura	euIW4SB
1.1.1	qKiG9Fa	Ca semeja la naturaleza Dela sçiençia moral del todo ser contraria ala sçiençia matematica	rei moralis omnino esse opposita negocio mathematico .	wO02RK2
1.1.2	dGFrXBg	e de naturaleza primeramente es de rrazon	quae sunt ad alterum ,	m5nS4Sj
1.1.2	kQw3Gd2	por orden natural	In ipsis etiam speculabilibus ordine naturali semper ex imperfecto ad perfectum procedimus ,	vQUa3sY
1.1.2	rOInL6N	Segund orden natural ala rreal magestad primeramente	quanta in gubernatione ciuitatis et regni : ordine naturali decet regiam maiestatem	oigRyxZ
1.1.2	vpoaQmY	Mas los mançebos son naturalmente liƀales	et auari : iuuenes vero sunt naturaliter liberales ,	dV4rnH6
1.1.3	snjeUan	Et estos son sotileza del entendemiento e engennjo natural	huiusmodi sunt industria mentis , ingenium naturale , potentiae animae :	e6clKAM
1.1.3	dj6utxL	Et naturalmente mas es sieruo	magis tamen est dignus subiici quam principari ,	iQiXVUv
1.1.4	zIQ3DaF	Ca el omes es naturalmente medianero entre las bestias	est autem homo naturaliter medius	e7puzgI
1.1.4	dpmic2j	por que el omne es natural .	quia homo	duNQcoo
1.1.4	tHhnPqn	naturalmente aina la conpanable çibdadano	( ut ibi probatur ) est naturaliter animal sociale , ciuile ,	qmY5gGE
1.1.4	zK03T6e	ca creyeron que qual quier ome naturalmente syn otra ayuda .	crediderunt enim , | quod ex puris naturalibus absque alio auxilio gratiae posset	ik99wf0, rORsIWQ
1.1.10	sWbDlzQ	que es naturalmente caliente	qui est naturae calidae ,	nD2VgNI
1.1.11	eA4jj1l	Et sienpre la forma es mas natural dela cosa	et semper forma magis dicit naturam rei ,	aNEFFKC
1.1.12	svrrhNz	e non lo ha conplidamente es instrumento de aquel que la ha naturalmente e conplidamente .	est instrumentum et organum eius , | quod habet illud essentialiter et perfecte ,	lo7Z2RE, yXbgOls
1.1.12	d70g1Ix	que el amor tan bien natural	quod amorem , | siue diuinum ,	xM9TZkP, dkoo4z0
1.2.1	tJmWRy9	ca alguons destos poderios del alma son naturales	quia potentiae animae quaedam sunt naturales , quaedam cognitiuae sensitiuae , quaedam appetitiuae ,	hKFJZHn
1.2.1	qwT9bto	e algunos intellectiuos e entendedores ¶ Naturales poderios son aquellos	et quaedam intellectiuae . Naturales potentiae sunt illae , in quibus communicamus cum vegetabilibus ,	l3gLn9e
1.2.1	aLsHEks	Mas que en los poderios naturales	vel in aliquibus horum . In potentiis autem naturalibus esse non possunt ,	obZdd3Z
1.2.1	zBPyQ6v	La primera es que por las cosas naturales non somos alabados nin denostados .	quia ex naturalibus nec laudamur ,	uAtOwXh
1.2.1	jae2xhs	por que en tales poderios naturales non han de seer las uirtudeses .	in talibus non habent esse virtutes :	sB2uRdc
1.2.1	e2xXqfw	segund que son naturales	( secundum quod huiusmodi )	maJWrE4
1.2.1	rKdT5zG	por que enlos poderios naturales non pueden seer las disposiçonnes	in talibus potentiis non sunt habitus ,	gBcA3Dv
1.2.1	gYPJ3q4	e los poderios naturales sean determinandos conplidamente	et potentiae naturales sufficienter determinentur ad agendum ,	tLZCvMz
1.2.1	enadnWa	por la qual cosa no pueden ser las uirtudes en los poderios naturales	quare in eis huiusmodi virtutes esse non possunt .	vuL3J33
1.2.1	vHJ2WuQ	que las uirtudes non son en los poderios naturales	per quas probatum est virtutes non esse in potentiis naturalibus ,	pPh807X
1.2.1	rOIJrSp	por los poderios naturales	nec vituperamur ex potentiis naturalibus : sic non laudamur , nec vituperamur ex sensibus .	qhNROhT
1.2.1	lzU0b63	porque assi commo los poderios naturales non obedesçen a la razon .	quia sicut potentiae naturales non obediunt rationi ,	fIoMVbI
1.2.1	iZhLJUh	Ca assi commo los poderios naturales son conplidamente determinados a sus obras por naturaleza .	quia sicut potentiae naturales sufficienter determinantur ad actiones suas per suam naturam :	ah6YQYJ
1.2.1	xU8uOiN	por su naturaleza .	sic et sensus .	emuyfhb
1.2.1	mV3flLB	Et estos poderios naturales e senssibles son determinados	haec autem sufficienter determinantur ad actiones proprias per naturam :	jvQfgdp
1.2.1	geNr5ib	por su naturaleza a sus obras	haec autem sufficienter determinantur ad actiones proprias per naturam :	jvQfgdp
1.2.1	hlqDjqf	si las uirtudes morales non son en los poderios naturales	nec in sensibus est virtus moralis ,	dF7ajjB
1.2.1	r9AMiEO	nin en los sesos naturales .	cum praeter potentias naturales ,	bagCQ52
1.2.1	am1acyQ	Commo sin estos poderios naturales e sesos naturales	cum praeter potentias naturales ,	bagCQ52
1.2.2	zJ2t2LH	ues ya es mostrado que las uirtudes ¶ morales non son en los poderios naturales nin en los sesos .	Ostenso , | quod nec in potentiis naturalibus ,	xmAthnY, pfykByU
1.2.2	xYM8qn5	assi commo la ph̃ia natural e la geometria e la methaphisica	ut naturalis Philosophia , Geometria , Metaphysica , et caetera talia . Virtutes vero simpliciter morales sunt illae , quae sunt in appetitu , siue appetitus ille sit sensitiuus , siue intellectiuus ,	l2ulOli
1.2.2	h0C6n8d	mas los poderios naturales	nec sunt rationales per essentiam ,	nWfsCHE
1.2.2	muAMZ2j	Ca assi commo el appetito natural sigue a su forma naturalmente auida .	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam ,	epMJa1M
1.2.2	qTVLk1M	e vna inclinaçion natural	sequitur ea quaedam naturalis inclinatio ,	bIDrIEW
