Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.2	jsxsGBm	commo la magestad rreal		
1.1.2	rOInL6N	Segund orden natural ala rreal magestad primeramente	quanta in gubernatione ciuitatis et regni : ordine naturali decet regiam maiestatem	oigRyxZ
1.1.3	qMralVT	Et pues que ya en el primero capitulo fizimos la magestad Real begniuola	postquam in primo capitulo reddidimus regiam maiestatem beniuolam ,	oDVoxv6
1.1.3	rkP2u1t	et en el segundo capitulo fiziemos essa mjsma magestad doçible	et in secundo reddidimus eam docilem , | narrando ordinem dicendorum :	hs9DG8e, nSQcIAo
1.1.3	iJDF4CS	e engannosa contando la orden de las cosas que aqui auemos de dezir ¶finca que en este terçero capitulo fagamos la Real magestad atenta	restat | ut in hoc capitulo tertio reddamus eam attentam ,	jQbFB0K, bFgxsR7
1.1.3	kGVn31E	Ca quanto la magestad rreal esta en logar mas alto	Nam quanto maiestas regia in loco altiori consistit ,	svNTn7r
1.1.4	fPltZ79	feziemos la Real magestad begniuola et uolunterosa		
1.1.4	aGgByHF	que conujene ala rreal magestad	ne sit homine peior :	oOmGT0F
1.1.6	ccy3TEg	por ende ¶Conuienea la real magestad de searedrar de tales delectaçonnes desmesuradas e carnales	sed qui dormiens , decet Regiam maiestatem tales delectationes immoderatas fugere ,	rdIJynt
1.1.7	l2rkcdT	Mas mayor mente es de denostar la Real magestad	sed maxime detestabile est regiae maiestati .	iK5EMHe
1.1.7	tfZq7bd	los quales bienes deue auer la Real magestad	et Magnanimitas sunt maxima bona ,	s1BqT9j
1.1.7	vvGJKj2	e ala Real magestad de ser conpuesta	et maxime decet regiam maiestatem	heBP945
1.1.8	i1XNeXL	que la real magestad	Maxime tamen hoc est indecens regiae maiestati :	x4zMsAi
1.1.11	l3u9YPb	por que non sea menospreçiada la Real magestad .	ne vilipendatur maiestas regia ,	cS4PZsM
1.1.12	g2VzaZA	en qual manera conuenga ala Real magestad	quomodo deceat regiam maiestatem | ponere	oN4vPod, hGc3nQl
1.1.12	xR7KAuu	Conuiene ala Real magestad	decet Regiam maiestatem	xBZS2Y9
1.2.12	mkNnmpe	e la desigualdat les tira la dignidat e la magestad real .	quia eorum iniustitia , et inaequalitas tollit ab eis regiam dignitatem .	aB2ae0H
1.2.20	ij76tZn	Por la qual cosa si cosa muy denostada es en la real magestad fallesçer	Quare si detestabile est regiam maiestatem	eBkKphi
1.2.20	l6c5Y7G	Et por que todas estas cosas ponen grand mengua en la Real magestad	quia omnia haec valde derogant regiae maiestati ,	eDPvVbn
1.3.3	qhSTgNC	segunt que la real magestad	Regi enim dignitas	mtNhHgC
1.3.3	nw9Tm99	ala qual es contraria la real magestad .	cui contrariatur :	wgAY35v
1.3.3	k7Lx2Lm	por las quales deue ser honrrada la real magestad	ad virtutes , | quibus debet ornari :	k0N6hnL, h3Uou5C
1.3.3	kp3THUa	de que deue fuyr la real magestad	quae debet fugere . Prima via sic patet :	xniRqyq
1.3.6	dcxgq5d	commo estas paresçen ser contrarias ala Real magestad .	et Principes in nullo debere esse timidos , quia talia regiae maiestati derogare dicuntur . Multos autem sic incitantes Reges habere consueuerunt ,	gGVuTF4
1.4.2	k03Cxor	quanto mas es cosa desconuenible ala Real magestad de ser despreçiada	quanto magis indecens est regiam maiestatem contemptibilem esse ,	umuy6UX
3.1.13	fZJhZ8Q	La primera razon se toma de parte dela magestad real	ex parte regiae maiestatis ,	stOcESy
3.1.13	nxVoIRc	por la qual razon commo venga ala real magestad	Quare cum deceat regia maiestatem	b6ZvhD4
3.2.5	xxyeRK7	assi commo non saber qual es la maiestad nin la dignidat Real	est quasi quaedam ineruditio regiae dignitatis tales quidem	hjGviUf
3.2.9	kj2DuGO	que conuiene ala Real maiestad	quod decet regiam maiestatem bene se habere circa diuina :	zWZW3rn
3.2.13	x2KITZ5	que cosa peligrosa e aborresçible deue ser ala rreal maiestad tiranzar	et periculosum esse regiae maiestati tyrannizare ,	oHORVNf
3.2.13	oQ1xaJq	e por que non sean puestos asechos a la rreal magestad .	Ne ergo fiant insidiae contra regiam maiestatem ,	xYRDgyh
3.2.14	nEEMXww	Et pues que assi es conuiene ala Real magestad	Decet ergo regiam maiestatem summo studio cauere tyrannidem ,	pZxml6o
3.2.15	qktGZRt	aquellos que honrro la real maiestad	quos maiestas regia honorauit , et promouit ad aliquam praeposituram ,	g8Es7hq
3.2.18	eRiO0f1	quales consseieros deue auer la real magestad e quales e quantas cosas son menester	Quare si scire volumus quales consiliarios habere deceat regiam maiestatem ,	hlXAwDV
