Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.12	fZfO0la	qual quier iuez	et multo magis ipse Rex ,	fXcdFHY
3.1.19	cpeWBPL	e sin fabla de los iuezes entres si .	inter se .	vWUBHnk
3.1.19	udO1Y1j	assi que si el acusado sin ninguna condiçion fuesse de condepnar el iuezes	ut si incusatus simpliciter condemnandus esset ,	ieUtVCj
3.1.20	iqOr7qB	ca quarie que los iuezes non deuian auer acuerdo enla audiençia	volebat enim iudices non debere conferre in praetorio de sententia ferenda :	gH8J4mm
3.2.1	zD4N3Wr	e quales deuen ser los iuezes	et quales debeant esse iudices quorum est iudicare	xAkKfiq
3.2.20	pPHwUkp	Enpero los iuezes que iudgan seg̃t las leyes mueren se	Iudices tamen iudicantes | secundum illas moriuntur et corrumpuntur .	gMOQjoC, dKMWu8E
3.2.20	zQKp10I	que sin cornupçion e sin muerte los iuezes son tirados de sus oficlvii i̊ çios	etiam absque corruptione | et morte iudices a suo officio remoueri ,	qSF11Tb, yYIOUpI
3.2.20	cYQgodJ	por que los iuezes continuadamente se remueuna .	eo quod ipsi quasi continue innouantur :	gbTfan6
3.2.20	ycdCLv9	por la qual cosa si los fazedores son pocos en conparaçion de los iuezes	Quare si legum conditores respectu iudicum sunt pauci ,	z3Zxjux
3.2.20	fGlJaUA	Mas los iuezes	iudices vero propter instantiam partium ,	zm2ZPzY
3.2.20	yvtcSzy	Mas los iuezes non fazen	Iudices autem non sic .	cx6EPMO
3.2.20	ol3cL9m	e señaladas en coruna los iuezes		
3.2.20	nxj2niH	Et muchas uezes tales perssonas tienen mientes a su bien propra o . por ende el iuez de ligero se t uerçeca	et saepe talia annexum habent proprium commodum . | Ideo iudex	fEO2cg8, qtB90rQ
3.2.20	mgEoHe6	por que el iuyzio de los iuezes non sea torçido buena cosa es	quare ne iudicium iudicum obliquatur , bonum est	bjZtNJV
3.2.20	sv2uNDI	e en aluedrio de los iuezes .	et quam paucissima arbitrio iudicum committere . Has autem tres rationes tangit Philosophus 1 Rhetoricorum dicens	jCew22h
3.2.20	fmC1CS6	et que muy pocas cosas sean dexadas alos iuezes ¶	et quam paucissima committere iudicantibus . Primum quidem quia facilius est habere unam	ze1lWxf
3.2.20	rxTo2gg	e en poder de los iuezes	oportet aliqua committere arbitrio iudicum ,	vbv0Qrc
3.2.21	sxM5X8l	que el iuez en iudgando de los pleitos	Scire enim debemus quod iudex in iudicando de litigiis ,	lfrq7Nn
3.2.21	yETbkap	Mas assi commo medianera esta y el iuez	tanquam medium vero est ipse iudex :	zcxd35t
3.2.21	vJig8f4	Ca el iuez es medianero	est enim iudex medius	j5mO7w0
3.2.21	rO4vbCT	Et el iuez	iudex tanquam medius aliquid accepit ab utrisque .	yJTyDfn
3.2.21	xov0mJ8	e el iuez aprende del fazedor dela ley	quid iuris ab illo addiscit iudex	wdicCeK
3.2.21	goRDmAk	Ca las partes mouiendo el iuez	quia partes passionando iudicem ,	velud1O
3.2.21	iNu0aQK	las quales la parte contraria fizo al iuez	aut narrare iniurias quas pars aduersa iudici intulit ,	qGcHRW1
3.2.21	hqdQLLd	Et en esta manera inclinar al iuez a malenconia	et hoc modo prouocare iudicem ad maliuolentiam partis aduersae ,	qXz304U
3.2.22	a4vZYpz	que conuiene de auer alos iuezes	quae oportet habere iudices ,	wJZ6jiY
3.2.22	a4pliz5	Ca conuiene a los iuezes	Expedit autem iudices	cgXNeOc
3.2.22	wdLxipA	Ca los iuezes	Iudices enim si non recte se habent ad legislatorem ,	n43Pdx7
3.2.22	uoggXaN	Et entonçe los iuezes non se han derechamente al fazedor dela ley	Tunc quidem dicuntur iudices non recte se habere ad legislatorem ,	pmCKO5x
3.2.22	oR8tNNe	Lo segundo los iuezes fazen iuyzio loco quando non se han derechamente nin conplidamente alas leyes	si non recte se habent ad leges , | ut si careant legum prudentia :	eoECiJs, xAhTxWA
3.2.22	oVx9wjx	si los iuezes non se ouieren conueniblemente alas partes	recte causae iudicari non possunt . Tertio si iudices non debite se habent ad partes litigantes ,	yXzMPfA
3.2.22	siXJVAo	Et de aqui paresçe quales iuezes e quales examinadores de los pleitos deue tomar el Rey .	et quales discussores causarum quaerere deceat regiam maiestatem :	cTsqqXj
3.2.23	gW2wQJA	con que tanne el philosofo en el primero libro uiene que tenga el iuez sienpre mientes	quae videtur tangere Philos’ 1 Rhet’	z2Q4lZh
3.2.23	h1zxjgu	si el iuez puede esto penssar	quare si iudex hoc potest opinari	fysNCxR
3.2.23	yARGupw	que el iuez	Ideo dicitur 1 Rheto’	jZOMt7m
3.2.23	kfuUUVM	Lo terçero que inclina al iuez a piedat	Tertium inclinans ad pietatem est pius intellectus legum .	rWmeOFy
3.2.23	r4N5ltq	que el iuez non deue parar mientes alas palabras delas leyes	quod dicitur 1 Rhetor’ quod iudicans non debet respicere ad verba legum ,	iVrycGf
3.2.23	x21LFgN	que enduze el iuez ami bicordia es muchedunbre de buean sobras .	sed ad electionem . Quintum inducens ad misericordiam , est multitudo bonorum operum .	kvmtDHz
3.2.23	zY44oyp	pon passado deue el iuez con el passar mibicordiosamente .	qui toto tempore se bene habuit praecedenti ,	hDE4DZF
3.2.23	v4tGLYq	vij̊ que enduze al iuez a piedat es sobrepuiança de bondat sobre la maldat .	ad pietatem , | est excessus bonitatis supra malitiam .	myUFUj1, gVFjlBG
3.2.23	p3l3Qon	quariendo enduzir los iuezes	et magis memorari boni suscepti ,	qijjcXP
3.2.23	oMDaMSM	que enduze el iuez amisicordia es la paçiençia	quam iniuriae quam fecit . Octauum est patientia incusati .	rTtGhON
3.2.23	oC2z21o	ca si alguno fuere acusado de algun pecado del qual deue resçebir pena del iuez	Nam si aliquis incusatur de aliquo delicto pro quo punitur a iudice ,	arK2ycf
3.2.23	kWu9Sf7	e se homilla e se pone todo en el aluedrio del iuez	omnino se humiliat , | et ponit se totaliter in arbitrio iudicantis ,	rQJI5vr, cwheZTx
3.2.23	uknKDAM	mas al aluedrio del iuez		
3.2.23	xdzn8tI	Et si esto conuiene alos iuezes mucho	et si hoc decet iudices ,	ugskEHh
3.2.32	wfbgQGl	quales deuen ser los iuezes ¶	quales iudices ,	tN7LPhf
3.2.36	aAxW1iI	que los iuezes encubiertos	Ideo dicitur 2 Rhet’	pnwkQEa
