Localisation	Id. source	Segment source	Segment cible	Id. cible
2.3.13	rLJNWdJ	mas conplidamente nunca de mucho omes se faria naturalmente vna conpannia o vna poliçia	numquam ex pluribus hominibus fieret naturaliter una societas vel una politia ,	eRD0iuk
2.3.13	bTpdodC	assi en la poliçia	et corpus obedit : sic in politia bene ordinata sapientes debent dominari ,	ldOh8eb
2.3.13	mke2WM2	Mas esto contesçe por desordenança dela poliçia e dela çibdat .	Sed hoc accidit ex peruersitate politiae :	nCSkran
2.3.13	wGDZ8It	assi enlas poliçias delas çibdades pestilençiosas e desordenadas	et corruptis magis dominantur ignorantes ,	vxjN0T7
2.3.19	gckhKAG	para guardar su poliçia conueniblemente	ut debitam politiam seruent	iTe75T0
3.1.9	oo3loOY	primeramente se ha de ordenar la poliçia	Quare cum in regimine ciuitatis primo sit politia ordinanda ,	wPgj7YG
3.1.15	cCVWSWf	que algua poliçia non deuiesse ser llamada çibdat	et eorum maxime est vacare circa armorum industriam . Volebat ergo Socrates politiam aliquam non debere nominari ciuitatem , nisi saltem contineret mille nobiles ,	kh7sbTQ
3.1.16	qL6fMQT	en qual manera se podria ordenas muy bien la poliçia e la çibdat	statuens quomodo posset optime politia ordinari .	g73cKVp
3.1.16	cBbrs6K	que ueya en las otras poliçias .	ex his quae videbat in politiis aliis .	xzkzWjA
3.1.19	rNMPcZI	que y podo mio establesciendo su poliçia		
3.1.20	abdviD3	por que el en la su poliçia manifesto muchͣs bueanssmans .	quia in sua politia multas bonas sententias promulgauit : aliqua	jxXoLd6
3.2.1	mfL94dV	que establesçieron poliçias	et recitando opinionem diuersorum Philosophorum instituentium politiam ,	ufcMbiX
3.2.2	ju1NwY0	e la poliçia que quiere dezer pueblo bien enssenoreante son bueons prinçipados .	et politia sunt principatus boni :	aVXy1DD
3.2.2	c5s14Xs	e diz el poliçia	et dicit ipsum esse Politiam . Politia enim quasi idem est ,	f5jkdxd
3.2.2	fhWbfkM	por que poliçia es	et dicit ipsum esse Politiam . Politia enim quasi idem est ,	f5jkdxd
3.2.2	yeEzsaL	ca la poliçia esta mayormente en el ordenamiento del grant prinçipado	qui dominantur omnibus aliis . Politia enim consistit maxime in ordine summi principatus ,	patw8SL
3.2.2	xpkwPxn	Pues que assi es todo ordenamiento de çibdat puede ser dicħ poliçia .	Omnis ergo ordinatio , | ciuitatis Politia dici potest .	wada8rT, ubu2qkY
3.2.2	wN1ORAL	por que non ha nonbre comun es dich poliçia	eo quod non habeat commune nomen , Politia dicitur . Nos autem talem principatum appellare possumus gubernationem populi ,	s9uk13B
3.2.3	sQLwRmr	qual es la muy buena poliçia	Quia intendimus ostendere quae sit optima politia ,	zZRihBc
3.2.7	g5VpWy6	et muy digna poliçia .	quod sicut Regnum est optima et dignissima politia ,	q6ygwUW
3.2.7	hffAYUd	por quela tirama much se arriedra dela poliçia e del bien comun .	quia tyrannis plurimum distat a politia ,	lEaCbVt
3.2.15	nL5BCGw	que saluna la poliçia	decem quae politiam saluant ,	uyIENtv
3.2.15	wP2zce7	que guarda la poliçia	Secundum praeseruans politiam	v5JJEGI
3.2.15	vM4x1Ie	bien vsar de los çibdadanos non solamente guarda la poliçia e el gouernamiento derecho .	Nam ut innuit Philosophus in Poli’ bene uti ciuibus non solum praeseruat politiam rectam ,	e18gjav
3.2.15	wof9ZID	e saluna lo poliçia	prope autem	o11hOCi
3.2.15	w7KAgpT	que salua la poliçia	Quartum autem quod politiam saluare videtur ,	mCYc8TY
3.2.15	viXv1MO	que guardan la poliçia es catar con grant acuçia		
3.2.15	kNDUp7A	e la poliçia	et politiam saluat ,	xyBWVAa
3.2.15	jn63IhK	que mucho salua la poliçia	Quare maxime saluatiuum politiae est ,	nr3TOVb
3.2.15	sXHLjE5	que guarda la poliçia .	nulli valde magnum dominium conferre .	dZNDNOw
3.2.15	iiWbXTF	e la poliçia es	Septimum saluans regnum et politiam ,	j40dRJL
3.2.15	aOIax9I	e la poliçia es auer poderio çiuilca	est habere ciuilem potentiam .	jxcttDm
3.2.15	iKvo4iX	e esto es lo que much salua el regno e la poliçia	hoc enim maxime saluabit regnum et politiam ,	u37pdic
3.2.15	cdOFLOu	que salua la poliçia	est Regem non ignorare qualis sit illa politia	jcSLFn4
3.2.15	jwlWRCi	es que el Rey sepa aquella poliçia e gouernamiento	est Regem non ignorare qualis sit illa politia	jcSLFn4
3.2.33	cKHET3e	que muestran que meior es la poliçia	ex quibus sumi possunt quatuor viae , ostendentes meliorem esse politiam ,	jRYLBQ5
3.2.34	cbQSGNA	Ca en la derecha poliçia	In recta enim Politia	ox9mhBA
3.2.35	fIaQ6ug	que demanda la poliçia o el gouernamiento del regno	et ad obseruandum ea quae requirit politia , | vel regimen regni ,	rrGCLvt, usmegzX
